Save,1/8/2026,1:07:50 PM,Scan,1/8/2026,1:07:35 PM,Reference,1/8/2026,12:58:32 PM,Measure
Software,STS IL/PDL,RAW,Normal,2.3.1.0
TSL,SANTEC,TSL-570,22110007,0032.0033.0015
PowerMeter,SANTEC,MPM-210H,23090007,Ver.1.19
,Module0,MPM-211,23090008M211,Ver.1.23
Power Monitor,DAQ
Start,1243,nm
Stop,1377,nm
Step,0.01,nm
Speed,200,nm/s
Source Power,5,dBm
Averaging Time,0.05,msec
Power meter range,23090008M211,(Ch1),-30～+10dBm,-40～ 0dBm,-50～-10dBm,-60～-20dBm,-80～-30dBm
--HEADER END--
--RAW DATA START--
Wavelength(nm),Monitor_R1(dBm),Monitor_R2(dBm),Monitor_R3(dBm),Monitor_R4(dBm),Monitor_R5(dBm),Raw_M1_S0_CH1_R1(dBm),Raw_M1_S0_CH1_R2(dBm),Raw_M1_S0_CH1_R3(dBm),Raw_M1_S0_CH1_R4(dBm),Raw_M1_S0_CH1_R5(dBm)
1243.41,-3.259655,-3.275252,-3.274721,-3.269491,-3.271992,-26.91686,-36.19587,-42.21034,-43.77768,-43.89488
1243.42,-3.266008,-3.281628,-3.282084,-3.275555,-3.278211,-26.87645,-36.2199,-42.17904,-43.73396,-43.97759
1243.43,-3.270097,-3.282996,-3.285276,-3.277301,-3.280565,-26.90647,-36.17555,-41.94056,-43.4423,-43.77401
1243.44,-3.271006,-3.279502,-3.283376,-3.276693,-3.278363,-26.9072,-36.09924,-41.8225,-43.19809,-43.49791
1243.45,-3.27131,-3.276466,-3.279046,-3.273735,-3.277301,-26.87918,-36.07822,-41.77654,-43.14697,-43.37398
1243.46,-3.272446,-3.274873,-3.275404,-3.272674,-3.27548,-26.87557,-36.09556,-41.77742,-43.14861,-43.34426
1243.47,-3.272901,-3.271613,-3.269946,-3.270931,-3.27275,-26.90796,-36.13391,-41.81514,-43.18714,-43.35926
1243.48,-3.272598,-3.26881,-3.265403,-3.267371,-3.269491,-26.94471,-36.13877,-41.91754,-43.34439,-43.46459
1243.49,-3.270931,-3.266614,-3.261091,-3.265554,-3.266311,-26.94322,-36.12082,-41.99635,-43.45583,-43.58424
1243.5,-3.267674,-3.261998,-3.255877,-3.26094,-3.260335,-26.92874,-36.14869,-42.02194,-43.49687,-43.68891
1243.51,-3.264722,-3.259882,-3.252556,-3.256557,-3.255122,-26.91216,-36.19459,-41.97663,-43.43336,-43.66996
1243.52,-3.261242,-3.257388,-3.250972,-3.254367,-3.251877,-26.92241,-36.15705,-41.9313,-43.37485,-43.60394
1243.53,-3.258748,-3.25399,-3.250142,-3.2515,-3.247579,-26.91485,-36.12484,-41.83281,-43.24329,-43.49521
1243.54,-3.252707,-3.250821,-3.24788,-3.247956,-3.242532,-26.87599,-36.11726,-41.68268,-42.98853,-43.28887
1243.55,-3.243511,-3.244565,-3.242005,-3.241252,-3.237717,-26.87995,-36.03984,-41.45324,-42.68486,-43.0421
1243.56,-3.235537,-3.238995,-3.236213,-3.235762,-3.232682,-26.8644,-35.9575,-41.22673,-42.37922,-42.71955
1243.57,-3.229678,-3.236363,-3.23133,-3.232231,-3.230128,-26.84887,-35.92068,-40.99316,-42.14172,-42.40336
1243.58,-3.226752,-3.236814,-3.232006,-3.232606,-3.232231,-26.87518,-35.85246,-40.87696,-41.97494,-42.15036
1243.59,-3.229528,-3.242306,-3.238544,-3.239748,-3.237341,-26.88501,-35.85531,-40.94524,-42.04965,-42.11105
1243.6,-3.233357,-3.249162,-3.245394,-3.247353,-3.246449,-26.86229,-35.84693,-41.0598,-42.19749,-42.26657
1243.61,-3.237115,-3.253613,-3.251273,-3.252481,-3.252783,-26.86607,-35.83556,-41.16218,-42.30981,-42.40971
1243.62,-3.239748,-3.255198,-3.255047,-3.256406,-3.256557,-26.85628,-35.94416,-41.26247,-42.46682,-42.50927
1243.63,-3.242758,-3.256633,-3.258143,-3.258748,-3.260789,-26.87409,-36.03387,-41.41165,-42.68454,-42.70207
1243.64,-3.24788,-3.258219,-3.261923,-3.261847,-3.263662,-26.92946,-36.06224,-41.55137,-42.85086,-42.93928
1243.65,-3.256557,-3.264041,-3.266765,-3.268052,-3.269794,-26.90714,-36.08357,-41.59487,-42.92251,-43.09756
1243.66,-3.26987,-3.271916,-3.27275,-3.274645,-3.275707,-26.87703,-36.03126,-41.41307,-42.67332,-42.99123
1243.67,-3.276769,-3.273432,-3.27275,-3.275707,-3.276162,-26.87793,-35.90399,-41.22794,-42.36493,-42.67645
1243.68,-3.278743,-3.271537,-3.269491,-3.273508,-3.272826,-26.91171,-35.8354,-41.02974,-42.16909,-42.37882
1243.69,-3.279654,-3.268052,-3.266917,-3.269794,-3.268885,-26.90796,-35.858,-40.91356,-42.02147,-42.19977
1243.7,-3.278818,-3.2651,-3.262603,-3.265705,-3.264646,-26.8842,-35.84232,-40.81499,-41.8758,-42.08827
1243.71,-3.277225,-3.262981,-3.26094,-3.264116,-3.261998,-26.89303,-35.77375,-40.6969,-41.72773,-41.91784
1243.72,-3.276769,-3.261998,-3.259504,-3.262225,-3.260864,-26.84844,-35.73323,-40.47984,-41.4641,-41.67572
1243.73,-3.270476,-3.256028,-3.25316,-3.256331,-3.254669,-26.81045,-35.72059,-40.43637,-41.37399,-41.51485
1243.74,-3.257237,-3.244641,-3.241328,-3.244264,-3.243963,-26.8423,-35.72336,-40.6385,-41.60941,-41.6268
1243.75,-3.242231,-3.232006,-3.229453,-3.23148,-3.231555,-26.89886,-35.8002,-40.79195,-41.83639,-41.85723
1243.76,-3.230504,-3.223228,-3.222254,-3.222703,-3.222778,-26.92373,-35.85773,-40.87221,-41.9657,-42.03199
1243.77,-3.223527,-3.218733,-3.219257,-3.219407,-3.219781,-26.89419,-35.86313,-40.99849,-42.08694,-42.14629
1243.78,-3.221954,-3.220081,-3.222478,-3.22098,-3.221354,-26.87986,-35.87538,-41.13791,-42.26162,-42.30382
1243.79,-3.225702,-3.225702,-3.229077,-3.227502,-3.227577,-26.85711,-35.93111,-41.21482,-42.368,-42.4758
1243.8,-3.224202,-3.227652,-3.230879,-3.228777,-3.229453,-26.82391,-35.90815,-41.07833,-42.2349,-42.41978
1243.81,-3.221729,-3.226077,-3.228777,-3.228102,-3.228852,-26.82676,-35.88813,-41.05607,-42.16903,-42.30449
1243.82,-3.221279,-3.227052,-3.229453,-3.230804,-3.230203,-26.87272,-35.91841,-41.1699,-42.31528,-42.38272
1243.83,-3.223827,-3.23163,-3.234109,-3.23719,-3.233883,-26.87985,-35.93611,-41.21584,-42.37774,-42.47848
1243.84,-3.229228,-3.238093,-3.243059,-3.247353,-3.242683,-26.89132,-35.90656,-41.07132,-42.19514,-42.44352
1243.85,-3.240575,-3.249011,-3.255575,-3.25837,-3.256028,-26.88849,-35.84132,-40.83305,-41.95926,-42.20697
1243.86,-3.251575,-3.258899,-3.2651,-3.269415,-3.266614,-26.85852,-35.78313,-40.61416,-41.67474,-41.90773
1243.87,-3.258672,-3.262754,-3.267749,-3.272977,-3.27184,-26.83437,-35.71496,-40.40791,-41.36497,-41.63081
1243.88,-3.264419,-3.265327,-3.268507,-3.273659,-3.274039,-26.83295,-35.62484,-40.25343,-41.17733,-41.37459
1243.89,-3.270097,-3.268128,-3.269643,-3.27457,-3.275783,-26.83931,-35.54943,-40.13227,-41.02779,-41.18539
1243.9,-3.275252,-3.270704,-3.2704,-3.273811,-3.276845,-26.84285,-35.52972,-40.04892,-40.92103,-41.08966
1243.91,-3.278135,-3.272446,-3.269643,-3.27275,-3.277073,-26.8295,-35.49227,-39.87769,-40.70719,-40.93988
1243.92,-3.275783,-3.268582,-3.265176,-3.265932,-3.270173,-26.80269,-35.41011,-39.66616,-40.43929,-40.64948
1243.93,-3.265932,-3.257161,-3.254066,-3.254443,-3.256633,-26.80126,-35.37296,-39.63321,-40.39815,-40.51456
1243.94,-3.251953,-3.245394,-3.241252,-3.242156,-3.242156,-26.84178,-35.35426,-39.609,-40.37996,-40.4803
1243.95,-3.242156,-3.238243,-3.234184,-3.235461,-3.231855,-26.86016,-35.3432,-39.53614,-40.29766,-40.42284
1243.96,-3.238318,-3.236363,-3.23208,-3.234334,-3.229453,-26.80565,-35.35583,-39.47746,-40.22382,-40.34876
1243.97,-3.238243,-3.239296,-3.23501,-3.236965,-3.230804,-26.8028,-35.36694,-39.47039,-40.20511,-40.28549
1243.98,-3.237115,-3.238018,-3.235912,-3.238018,-3.232831,-26.84792,-35.38381,-39.56878,-40.31733,-40.33751
1243.99,-3.231029,-3.231029,-3.230879,-3.233132,-3.228927,-26.85849,-35.40564,-39.66095,-40.4454,-40.48632
1244,-3.219781,-3.220231,-3.221279,-3.224052,-3.220381,-26.83581,-35.40652,-39.65244,-40.43629,-40.52575
1244.01,-3.209833,-3.210206,-3.21357,-3.215814,-3.213944,-26.83582,-35.39938,-39.63676,-40.41162,-40.51606
1244.02,-3.205725,-3.206919,-3.210804,-3.21342,-3.210804,-26.826,-35.39123,-39.61142,-40.37316,-40.48916
1244.03,-3.20916,-3.210132,-3.214617,-3.217011,-3.214841,-26.80621,-35.42398,-39.63295,-40.39612,-40.4736
1244.04,-3.214841,-3.213944,-3.221354,-3.224127,-3.222104,-26.80477,-35.4557,-39.73349,-40.50969,-40.53898
1244.05,-3.220755,-3.223827,-3.229753,-3.235612,-3.233282,-26.80266,-35.44637,-39.81741,-40.63435,-40.6892
1244.06,-3.228177,-3.23163,-3.23689,-3.245168,-3.241478,-26.80757,-35.44538,-39.83048,-40.63887,-40.74068
1244.07,-3.235161,-3.242306,-3.244641,-3.254443,-3.249765,-26.85168,-35.47684,-39.88434,-40.713,-40.76492
1244.08,-3.247579,-3.255424,-3.256482,-3.264419,-3.260789,-26.89643,-35.54634,-40.05352,-40.95352,-40.91471
1244.09,-3.262377,-3.268431,-3.268507,-3.271764,-3.271007,-26.88774,-35.62358,-40.19972,-41.09773,-41.13363
1244.1,-3.27184,-3.274797,-3.27548,-3.276087,-3.275631,-26.88344,-35.61426,-40.19987,-41.10898,-41.22227
1244.11,-3.273887,-3.271234,-3.273887,-3.274039,-3.271385,-26.8664,-35.5785,-40.13778,-41.02495,-41.16433
1244.12,-3.267749,-3.261393,-3.26336,-3.263511,-3.261091,-26.8337,-35.61106,-40.13597,-41.02431,-41.11335
1244.13,-3.258823,-3.250142,-3.252104,-3.251877,-3.249614,-26.85221,-35.62347,-40.15594,-41.05109,-41.13397
1244.14,-3.253009,-3.245168,-3.245996,-3.245921,-3.242908,-26.84177,-35.552,-40.06056,-40.91758,-41.09716
1244.15,-3.255877,-3.24788,-3.249388,-3.244942,-3.24577,-26.8304,-35.46874,-39.86542,-40.71095,-40.88717
1244.16,-3.262074,-3.25482,-3.255349,-3.248182,-3.251198,-26.8409,-35.43663,-39.74218,-40.54767,-40.71373
1244.17,-3.262906,-3.254519,-3.256179,-3.24788,-3.2515,-26.79144,-35.40128,-39.57964,-40.37098,-40.54713
1244.18,-3.254669,-3.244264,-3.24773,-3.239597,-3.243285,-26.8204,-35.30178,-39.44867,-40.19574,-40.33786
1244.19,-3.24035,-3.229828,-3.234184,-3.227652,-3.230729,-26.8232,-35.32187,-39.46039,-40.19712,-40.28547
1244.2,-3.224802,-3.215889,-3.220605,-3.214991,-3.218508,-26.81694,-35.3618,-39.52871,-40.25988,-40.32203
1244.21,-3.216113,-3.208338,-3.212673,-3.208712,-3.212224,-26.7891,-35.41542,-39.67646,-40.43918,-40.46297
1244.22,-3.213196,-3.207741,-3.21185,-3.208338,-3.212224,-26.78683,-35.45868,-39.78462,-40.59688,-40.64714
1244.23,-3.211103,-3.208936,-3.212822,-3.210132,-3.213271,-26.82165,-35.4458,-39.72564,-40.56124,-40.68098
1244.24,-3.21043,-3.211028,-3.214019,-3.212374,-3.214393,-26.81601,-35.41517,-39.59809,-40.38687,-40.53566
1244.25,-3.208338,-3.214168,-3.21746,-3.215889,-3.216936,-26.80687,-35.34438,-39.37473,-40.13387,-40.31587
1244.26,-3.209758,-3.221429,-3.222328,-3.223378,-3.223452,-26.79844,-35.27948,-39.24763,-39.95504,-40.11893
1244.27,-3.217984,-3.233508,-3.233583,-3.235085,-3.236439,-26.77401,-35.18219,-39.04625,-39.73745,-39.91831
1244.28,-3.23148,-3.250746,-3.249388,-3.25052,-3.253839,-26.74616,-35.04866,-38.79451,-39.45898,-39.64925
1244.29,-3.247127,-3.265857,-3.263814,-3.264949,-3.267598,-26.74963,-34.96926,-38.58774,-39.20749,-39.36342
1244.3,-3.256255,-3.273432,-3.2704,-3.269188,-3.273356,-26.77398,-34.94625,-38.45593,-39.04642,-39.1655
1244.31,-3.260335,-3.27457,-3.269264,-3.267749,-3.27184,-26.75319,-34.85901,-38.28625,-38.86234,-38.9937
1244.32,-3.260713,-3.270628,-3.265554,-3.264343,-3.266387,-26.73787,-34.73803,-38.09021,-38.64615,-38.79232
1244.33,-3.263284,-3.270249,-3.264949,-3.26215,-3.264797,-26.7187,-34.666,-37.92348,-38.45494,-38.57721
1244.34,-3.267901,-3.273205,-3.266992,-3.2651,-3.266614,-26.66062,-34.6348,-37.83364,-38.34686,-38.43445
1244.35,-3.27548,-3.275783,-3.272446,-3.268734,-3.268582,-26.67148,-34.62963,-37.81339,-38.31425,-38.37129
1244.36,-3.274039,-3.274039,-3.271234,-3.265403,-3.267371,-26.71654,-34.63604,-37.82772,-38.3085,-38.36403
1244.37,-3.264267,-3.262906,-3.259957,-3.255651,-3.259504,-26.71243,-34.59708,-37.76529,-38.2563,-38.34158
1244.38,-3.251123,-3.247353,-3.246675,-3.239371,-3.245168,-26.68227,-34.55195,-37.6754,-38.13594,-38.23762
1244.39,-3.23892,-3.235311,-3.233508,-3.227952,-3.23486,-26.67539,-34.53147,-37.60959,-38.06625,-38.14968
1244.4,-3.230879,-3.227877,-3.226602,-3.223228,-3.229528,-26.6679,-34.52107,-37.59369,-38.05729,-38.11135
1244.41,-3.229153,-3.225927,-3.225627,-3.222178,-3.227577,-26.66732,-34.52243,-37.62136,-38.09216,-38.11847
