Save,1/8/2026,1:07:50 PM,Scan,1/8/2026,1:07:35 PM,Reference,1/8/2026,12:58:32 PM,Measure
Software,STS IL/PDL,RAW,Normal,2.3.1.0
TSL,SANTEC,TSL-570,22110007,0032.0033.0015
PowerMeter,SANTEC,MPM-210H,23090007,Ver.1.19
,Module0,MPM-211,23090008M211,Ver.1.23
Power Monitor,DAQ
Start,1243,nm
Stop,1377,nm
Step,0.01,nm
Speed,200,nm/s
Source Power,5,dBm
Averaging Time,0.05,msec
Power meter range,23090008M211,(Ch1),-30～+10dBm,-40～ 0dBm,-50～-10dBm,-60～-20dBm,-80～-30dBm
--HEADER END--
--RAW DATA START--
Wavelength(nm),Monitor_R1(dBm),Monitor_R2(dBm),Monitor_R3(dBm),Monitor_R4(dBm),Monitor_R5(dBm),Raw_M1_S0_CH1_R1(dBm),Raw_M1_S0_CH1_R2(dBm),Raw_M1_S0_CH1_R3(dBm),Raw_M1_S0_CH1_R4(dBm),Raw_M1_S0_CH1_R5(dBm)
1275.17,-2.817117,-2.817254,-2.819848,-2.824358,-2.825726,-15.14967,-15.40015,-15.44187,-16.55315,-26.55218
1275.18,-2.824837,-2.824973,-2.827436,-2.83079,-2.832571,-15.15347,-15.40559,-15.44862,-16.55315,-26.55218
1275.19,-2.830173,-2.831475,-2.833598,-2.836134,-2.836682,-15.16549,-15.42008,-15.46315,-16.55315,-26.55218
1275.2,-2.833187,-2.836065,-2.837437,-2.838809,-2.839632,-15.17126,-15.42734,-15.46889,-16.55315,-26.55218
1275.21,-2.832433,-2.834969,-2.83778,-2.837505,-2.838603,-15.16818,-15.4221,-15.46411,-16.55315,-26.55218
1275.22,-2.830653,-2.830927,-2.835243,-2.835243,-2.837162,-15.15837,-15.41007,-15.4552,-16.55315,-26.55218
1275.23,-2.829489,-2.82771,-2.832844,-2.83305,-2.83634,-15.1502,-15.40001,-15.44619,-16.55315,-26.55218
1275.24,-2.8299,-2.825999,-2.831064,-2.830448,-2.835311,-15.15375,-15.39635,-15.44328,-16.55315,-26.55218
1275.25,-2.828736,-2.825863,-2.829489,-2.827231,-2.832776,-15.16361,-15.40381,-15.45095,-16.55315,-26.55218
1275.26,-2.825657,-2.824631,-2.826478,-2.822034,-2.828257,-15.17054,-15.41709,-15.46293,-16.55315,-26.55218
1275.27,-2.816503,-2.819848,-2.818482,-2.812614,-2.817799,-15.17286,-15.42448,-15.46738,-16.55315,-26.55218
1275.28,-2.806414,-2.812955,-2.80907,-2.803487,-2.807367,-15.17035,-15.42496,-15.46437,-16.55315,-26.55218
1275.29,-2.798522,-2.804643,-2.799882,-2.796009,-2.79893,-15.1627,-15.42213,-15.45891,-16.55315,-26.55218
1275.3,-2.794379,-2.800154,-2.795058,-2.79241,-2.79499,-15.15933,-15.41828,-15.45518,-16.55315,-26.55218
1275.31,-2.794311,-2.799134,-2.794175,-2.79207,-2.795669,-15.16752,-15.42145,-15.45798,-16.55315,-26.55218
1275.32,-2.797028,-2.799202,-2.795941,-2.794243,-2.798115,-15.18234,-15.43416,-15.47222,-16.55315,-26.55218
1275.33,-2.800766,-2.800222,-2.798522,-2.79662,-2.800834,-15.19952,-15.44696,-15.49017,-16.55315,-26.55218
1275.34,-2.804031,-2.801786,-2.79995,-2.798455,-2.803078,-15.20811,-15.45836,-15.50209,-16.55315,-26.55218
1275.35,-2.806005,-2.803419,-2.802126,-2.801922,-2.804576,-15.21362,-15.46513,-15.50668,-16.55315,-26.55218
1275.36,-2.808184,-2.807027,-2.805393,-2.806005,-2.808048,-15.2201,-15.46912,-15.5107,-16.55315,-26.55218
1275.37,-2.812273,-2.813091,-2.81091,-2.812819,-2.813433,-15.22375,-15.47761,-15.51927,-16.55315,-26.55218
1275.38,-2.81739,-2.818141,-2.817868,-2.820668,-2.820941,-15.22575,-15.48533,-15.52752,-16.55315,-26.55218
1275.39,-2.821965,-2.822991,-2.823606,-2.825179,-2.827505,-15.22854,-15.48878,-15.5317,-16.55315,-26.55218
1275.4,-2.824358,-2.824563,-2.826341,-2.826752,-2.8299,-15.22908,-15.48779,-15.53059,-16.55315,-26.55218
1275.41,-2.824631,-2.823811,-2.825999,-2.825316,-2.828531,-15.22634,-15.47952,-15.52415,-16.55315,-26.55218
1275.42,-2.823333,-2.821692,-2.824495,-2.822649,-2.824905,-15.22215,-15.47376,-15.518,-16.55315,-26.55218
1275.43,-2.821351,-2.819916,-2.821898,-2.821146,-2.819848,-15.21717,-15.47162,-15.51437,-16.55315,-26.55218
1275.44,-2.820394,-2.819029,-2.820326,-2.8206,-2.81698,-15.21664,-15.472,-15.51417,-16.55315,-26.55218
1275.45,-2.818004,-2.817049,-2.81739,-2.819916,-2.813637,-15.21751,-15.47155,-15.51445,-16.55315,-26.55218
1275.46,-2.814319,-2.812069,-2.812341,-2.816502,-2.81016,-15.21377,-15.46562,-15.50986,-16.55315,-26.55218
1275.47,-2.807299,-2.806005,-2.806278,-2.809956,-2.80335,-15.20162,-15.4551,-15.49671,-16.55315,-26.55218
1275.48,-2.799134,-2.79533,-2.798047,-2.798455,-2.796416,-15.18485,-15.43303,-15.4783,-16.55315,-26.55218
1275.49,-2.793292,-2.790578,-2.793089,-2.79146,-2.791663,-15.17479,-15.42289,-15.4671,-16.55315,-26.55218
1275.5,-2.790781,-2.78956,-2.79112,-2.789085,-2.788814,-15.17387,-15.4223,-15.46603,-16.55315,-26.55218
1275.51,-2.792749,-2.792614,-2.792885,-2.790374,-2.791799,-15.17691,-15.4279,-15.4693,-16.55315,-26.55218
1275.52,-2.799202,-2.799338,-2.798659,-2.796009,-2.796824,-15.1787,-15.43059,-15.47157,-16.55315,-26.55218
1275.53,-2.80478,-2.802398,-2.802126,-2.79995,-2.801922,-15.18106,-15.43184,-15.47357,-16.55315,-26.55218
1275.54,-2.808253,-2.805052,-2.80512,-2.803623,-2.805461,-15.18343,-15.43297,-15.47469,-16.55315,-26.55218
1275.55,-2.811182,-2.806958,-2.807231,-2.806278,-2.808798,-15.18343,-15.43233,-15.47476,-16.55315,-26.55218
1275.56,-2.812887,-2.809819,-2.809206,-2.808388,-2.81275,-15.18881,-15.43907,-15.48188,-16.55315,-26.55218
1275.57,-2.816502,-2.816025,-2.814183,-2.812273,-2.817936,-15.20375,-15.45381,-15.49588,-16.55315,-26.55218
1275.58,-2.820531,-2.822512,-2.818687,-2.81623,-2.822171,-15.21591,-15.46969,-15.50993,-16.55315,-26.55218
1275.59,-2.821556,-2.826341,-2.821351,-2.818073,-2.823128,-15.22151,-15.48131,-15.51884,-16.55315,-26.55218
1275.6,-2.81937,-2.82682,-2.820804,-2.816025,-2.821556,-15.22424,-15.48699,-15.52252,-16.55315,-26.55218
1275.61,-2.814456,-2.820736,-2.818551,-2.812341,-2.816435,-15.22649,-15.48465,-15.52321,-16.55315,-26.55218
1275.62,-2.809819,-2.813705,-2.816298,-2.809547,-2.81241,-15.22512,-15.47917,-15.52261,-16.55315,-26.55218
1275.63,-2.807503,-2.808321,-2.814183,-2.808593,-2.810842,-15.22122,-15.47502,-15.52387,-16.55315,-26.55218
1275.64,-2.806414,-2.804099,-2.812546,-2.809411,-2.809002,-15.22205,-15.47505,-15.52701,-16.55315,-26.55218
1275.65,-2.806141,-2.802738,-2.809547,-2.809206,-2.807503,-15.226,-15.47618,-15.52783,-16.55315,-26.55218
1275.66,-2.804099,-2.801718,-2.804712,-2.806277,-2.804916,-15.22761,-15.47772,-15.52624,-16.55315,-26.55218
1275.67,-2.79961,-2.799746,-2.798726,-2.801582,-2.800018,-15.222,-15.47668,-15.52004,-16.55315,-26.55218
1275.68,-2.794447,-2.797639,-2.793224,-2.797231,-2.795465,-15.21323,-15.47103,-15.50901,-16.55315,-26.55218
1275.69,-2.793089,-2.796552,-2.79207,-2.796348,-2.794514,-15.2125,-15.47016,-15.50704,-16.55315,-26.55218
1275.7,-2.79499,-2.797843,-2.794582,-2.798726,-2.79628,-15.21878,-15.4772,-15.51442,-16.55315,-26.55218
1275.71,-2.80063,-2.800698,-2.799542,-2.803147,-2.80267,-15.22987,-15.48763,-15.52741,-16.55315,-26.55218
1275.72,-2.808729,-2.804643,-2.805801,-2.807776,-2.809615,-15.23989,-15.49308,-15.53655,-16.55315,-26.55218
1275.73,-2.816161,-2.808525,-2.811319,-2.812001,-2.813092,-15.24366,-15.49381,-15.54029,-16.55315,-26.55218
1275.74,-2.820121,-2.811864,-2.815001,-2.815684,-2.815411,-15.24572,-15.49667,-15.54404,-16.55315,-26.55218
1275.75,-2.822718,-2.814865,-2.818073,-2.819165,-2.816912,-15.24646,-15.49763,-15.54572,-16.55315,-26.55218
1275.76,-2.823948,-2.819097,-2.821761,-2.822718,-2.818414,-15.24523,-15.49789,-15.54631,-16.55315,-26.55218
1275.77,-2.82429,-2.823265,-2.825452,-2.824837,-2.821214,-15.24774,-15.50177,-15.54895,-16.55315,-26.55218
1275.78,-2.825999,-2.826615,-2.827299,-2.826478,-2.825179,-15.24906,-15.50583,-15.55097,-16.55315,-26.55218
1275.79,-2.825726,-2.827778,-2.827094,-2.825384,-2.825931,-15.24818,-15.50787,-15.55004,-16.55315,-26.55218
1275.8,-2.821898,-2.824631,-2.823059,-2.820394,-2.82429,-15.24362,-15.50263,-15.54313,-16.55315,-26.55218
1275.81,-2.816025,-2.819165,-2.817254,-2.812819,-2.818687,-15.23421,-15.49306,-15.53441,-16.55315,-26.55218
1275.82,-2.811523,-2.814524,-2.812478,-2.806482,-2.813024,-15.22855,-15.48633,-15.52731,-16.55315,-26.55218
1275.83,-2.806686,-2.809002,-2.808933,-2.801582,-2.80621,-15.21534,-15.47306,-15.51368,-16.55315,-26.55218
1275.84,-2.803759,-2.805665,-2.806822,-2.800154,-2.80301,-15.20006,-15.45614,-15.49783,-16.55315,-26.55218
1275.85,-2.800494,-2.803691,-2.805665,-2.79961,-2.799814,-15.19476,-15.44985,-15.4937,-16.55315,-26.55218
1275.86,-2.797843,-2.800562,-2.80233,-2.797911,-2.797979,-15.1968,-15.45203,-15.49755,-16.55315,-26.55218
1275.87,-2.793903,-2.798726,-2.800086,-2.797367,-2.797571,-15.19588,-15.45172,-15.49814,-16.55315,-26.55218
1275.88,-2.793292,-2.798047,-2.797707,-2.794718,-2.796892,-15.19375,-15.45298,-15.49973,-16.55315,-26.55218
1275.89,-2.795125,-2.79961,-2.796688,-2.794786,-2.79893,-15.20555,-15.46327,-15.50864,-16.55315,-26.55218
1275.9,-2.800698,-2.80621,-2.800562,-2.798998,-2.804099,-15.22049,-15.47945,-15.52077,-16.55315,-26.55218
1275.91,-2.808048,-2.814456,-2.804916,-2.805325,-2.810501,-15.23123,-15.49387,-15.52992,-16.55315,-26.55218
1275.92,-2.816776,-2.820668,-2.811455,-2.813637,-2.817595,-15.24004,-15.50271,-15.53955,-16.55315,-26.55218
1275.93,-2.824085,-2.827641,-2.819302,-2.8206,-2.824427,-15.2496,-15.51646,-15.55417,-16.55315,-26.55218
1275.94,-2.828326,-2.830173,-2.824153,-2.826205,-2.82901,-15.26411,-15.5315,-15.57086,-16.55315,-26.55218
1275.95,-2.831543,-2.831749,-2.827504,-2.831132,-2.83216,-15.27743,-15.54277,-15.58312,-16.55315,-26.55218
1275.96,-2.834146,-2.832707,-2.831406,-2.834215,-2.83442,-15.28936,-15.55278,-15.59499,-16.55315,-26.55218
1275.97,-2.835106,-2.832296,-2.832502,-2.833941,-2.833324,-15.3056,-15.56871,-15.6126,-16.55315,-26.55218
1275.98,-2.835997,-2.831749,-2.832433,-2.83305,-2.828941,-15.32744,-15.58601,-15.63022,-16.55315,-26.55218
1275.99,-2.832502,-2.828873,-2.830927,-2.830516,-2.824016,-15.33397,-15.59602,-15.63991,-16.55315,-26.55218
1276,-2.8247,-2.822786,-2.8247,-2.822991,-2.815479,-15.33007,-15.59729,-15.64082,-16.55315,-26.55218
1276.01,-2.816502,-2.815274,-2.818619,-2.816161,-2.808457,-15.32617,-15.59324,-15.63753,-16.55315,-26.55218
1276.02,-2.808865,-2.806754,-2.812819,-2.809342,-2.803895,-15.32538,-15.5889,-15.63523,-16.55315,-26.55218
1276.03,-2.804508,-2.801582,-2.808253,-2.803487,-2.802738,-15.32868,-15.58806,-15.63801,-16.55315,-26.55218
1276.04,-2.80199,-2.798183,-2.806686,-2.800834,-2.802738,-15.33318,-15.59192,-15.64297,-16.55315,-26.55218
1276.05,-2.800222,-2.794718,-2.803487,-2.798183,-2.802875,-15.33558,-15.59563,-15.64864,-16.55315,-26.55218
1276.06,-2.798115,-2.793157,-2.801038,-2.795058,-2.799678,-15.33438,-15.59466,-15.64711,-16.55315,-26.55218
1276.07,-2.794379,-2.789696,-2.797231,-2.791934,-2.797503,-15.32957,-15.5873,-15.63912,-16.55315,-26.55218
1276.08,-2.791935,-2.789017,-2.794243,-2.790035,-2.794582,-15.31929,-15.58016,-15.63007,-16.55315,-26.55218
1276.09,-2.791935,-2.79336,-2.795397,-2.792546,-2.79465,-15.31524,-15.57979,-15.62547,-16.55315,-26.55218
1276.1,-2.795941,-2.800222,-2.799406,-2.799338,-2.800086,-15.31709,-15.58352,-15.62547,-16.55315,-26.55218
1276.11,-2.804984,-2.80907,-2.805937,-2.808933,-2.807639,-15.31475,-15.58533,-15.62517,-16.55315,-26.55218
1276.12,-2.813569,-2.814319,-2.811387,-2.818004,-2.815684,-15.3144,-15.58527,-15.6246,-16.55315,-26.55218
1276.13,-2.821625,-2.81937,-2.817049,-2.825247,-2.823196,-15.31455,-15.582,-15.62228,-16.55315,-26.55218
1276.14,-2.826273,-2.821829,-2.821488,-2.82901,-2.827162,-15.31116,-15.5742,-15.61543,-16.55315,-26.55218
1276.15,-2.82901,-2.823743,-2.824905,-2.830653,-2.828668,-15.30519,-15.56721,-15.60928,-16.55315,-26.55218
1276.16,-2.831132,-2.826478,-2.828941,-2.832639,-2.831201,-15.30116,-15.56354,-15.60685,-16.55315,-26.55218
1276.17,-2.831749,-2.827368,-2.830379,-2.832707,-2.831132,-15.29674,-15.56067,-15.60362,-16.55315,-26.55218
1276.18,-2.829831,-2.82641,-2.82812,-2.829421,-2.830721,-15.29089,-15.55434,-15.59529,-16.55315,-26.55218
1276.19,-2.824905,-2.823196,-2.821692,-2.822855,-2.827299,-15.2848,-15.54605,-15.58391,-16.55315,-26.55218
1276.2,-2.817458,-2.815479,-2.812819,-2.812478,-2.820531,-15.27088,-15.52809,-15.56794,-16.55315,-26.55218
1276.21,-2.809274,-2.80689,-2.803487,-2.80131,-2.811592,-15.25231,-15.5099,-15.54973,-16.55315,-26.55218
1276.22,-2.80199,-2.800358,-2.795533,-2.792002,-2.803283,-15.23505,-15.49234,-15.52943,-16.55315,-26.55218
1276.23,-2.798047,-2.794243,-2.791867,-2.787933,-2.795941,-15.22673,-15.48003,-15.51876,-16.55315,-26.55218
1276.24,-2.795805,-2.789967,-2.789221,-2.786713,-2.790239,-15.22468,-15.47755,-15.51748,-16.55315,-26.55218
1276.25,-2.793089,-2.787933,-2.787865,-2.787051,-2.78834,-15.22532,-15.47953,-15.51996,-16.55315,-26.55218
1276.26,-2.790917,-2.784815,-2.786102,-2.786374,-2.787119,-15.22483,-15.47927,-15.52081,-16.55315,-26.55218
1276.27,-2.789221,-2.782918,-2.785154,-2.786509,-2.786374,-15.2218,-15.47463,-15.51754,-16.55315,-26.55218
1276.28,-2.789967,-2.783054,-2.785696,-2.78739,-2.78834,-15.22068,-15.46848,-15.51566,-16.55315,-26.55218
1276.29,-2.793157,-2.785493,-2.789289,-2.790035,-2.791324,-15.23002,-15.47694,-15.52587,-16.55315,-26.55218
1276.3,-2.797911,-2.793089,-2.795669,-2.798183,-2.795941,-15.24815,-15.4971,-15.54458,-16.55315,-26.55218
1276.31,-2.804168,-2.803351,-2.803691,-2.805597,-2.802875,-15.26565,-15.51659,-15.56365,-16.55315,-26.55218
1276.32,-2.809138,-2.812614,-2.811046,-2.812273,-2.808388,-15.27996,-15.53884,-15.58399,-16.55315,-26.55218
1276.33,-2.813501,-2.819438,-2.816503,-2.818482,-2.813705,-15.29323,-15.56178,-15.60383,-16.55315,-26.55218
1276.34,-2.815479,-2.822854,-2.820804,-2.822171,-2.817799,-15.29893,-15.57044,-15.61248,-16.55315,-26.55218
1276.35,-2.816435,-2.822581,-2.822922,-2.824495,-2.821282,-15.2954,-15.56598,-15.61148,-16.55315,-26.55218
1276.36,-2.816639,-2.82019,-2.823811,-2.825042,-2.823879,-15.29704,-15.56562,-15.61615,-16.55315,-26.55218
1276.37,-2.816093,-2.818209,-2.823196,-2.823469,-2.823401,-15.30569,-15.57007,-15.62226,-16.55315,-26.55218
1276.38,-2.813501,-2.814115,-2.81937,-2.817731,-2.819165,-15.31475,-15.57332,-15.62512,-16.55315,-26.55218
1276.39,-2.81016,-2.810228,-2.813092,-2.810024,-2.811796,-15.31824,-15.5757,-15.62523,-16.55315,-26.55218
1276.4,-2.803963,-2.80444,-2.803555,-2.800766,-2.803078,-15.31659,-15.57744,-15.62304,-16.55315,-26.55218
1276.41,-2.796688,-2.797435,-2.794243,-2.792138,-2.794514,-15.3131,-15.57863,-15.62032,-16.55315,-26.55218
1276.42,-2.79051,-2.79112,-2.787933,-2.787187,-2.788204,-15.3126,-15.57805,-15.61768,-16.55315,-26.55218
1276.43,-2.786102,-2.785493,-2.781361,-2.782512,-2.784205,-15.31196,-15.57292,-15.61034,-16.55315,-26.55218
1276.44,-2.784138,-2.783189,-2.780481,-2.781768,-2.783867,-15.30713,-15.56496,-15.60454,-16.55315,-26.55218
1276.45,-2.784341,-2.782512,-2.78021,-2.781768,-2.784341,-15.3029,-15.56182,-15.60345,-16.55315,-26.55218
1276.46,-2.78468,-2.782106,-2.780955,-2.781768,-2.784476,-15.30076,-15.56128,-15.60535,-16.55315,-26.55218
1276.47,-2.78617,-2.783799,-2.783189,-2.784138,-2.785289,-15.29644,-15.55795,-15.6036,-16.55315,-26.55218
1276.48,-2.788272,-2.785831,-2.785967,-2.78678,-2.785086,-15.29461,-15.55341,-15.60048,-16.55315,-26.55218
1276.49,-2.791935,-2.79241,-2.791799,-2.792206,-2.788814,-15.29768,-15.55807,-15.60261,-16.55315,-26.55218
1276.5,-2.796077,-2.80097,-2.796348,-2.799474,-2.795465,-15.29893,-15.56365,-15.60473,-16.55315,-26.55218
1276.51,-2.800494,-2.807027,-2.802942,-2.805597,-2.801378,-15.29401,-15.56342,-15.60158,-16.55315,-26.55218
1276.52,-2.80512,-2.814592,-2.808661,-2.811319,-2.809275,-15.28717,-15.55693,-15.59552,-16.55315,-26.55218
1276.53,-2.809002,-2.818277,-2.812341,-2.81698,-2.814729,-15.28331,-15.55178,-15.59178,-16.55315,-26.55218
1276.54,-2.812682,-2.819984,-2.815888,-2.820326,-2.818482,-15.28326,-15.55058,-15.59017,-16.55315,-26.55218
1276.55,-2.813705,-2.820394,-2.818482,-2.822376,-2.820258,-15.28247,-15.54617,-15.58625,-16.55315,-26.55218
1276.56,-2.813024,-2.816502,-2.817322,-2.821624,-2.818551,-15.27783,-15.53638,-15.57842,-16.55315,-26.55218
1276.57,-2.808866,-2.81241,-2.813842,-2.817049,-2.814729,-15.26894,-15.52451,-15.56688,-16.55315,-26.55218
1276.58,-2.803147,-2.805528,-2.808525,-2.809751,-2.808321,-15.26086,-15.51564,-15.55931,-16.55315,-26.55218
1276.59,-2.797775,-2.79961,-2.801242,-2.800494,-2.802602,-15.25284,-15.50943,-15.55367,-16.55315,-26.55218
1276.6,-2.791121,-2.793157,-2.795125,-2.791256,-2.796348,-15.24842,-15.50533,-15.54996,-16.55315,-26.55218
1276.61,-2.785561,-2.789153,-2.790306,-2.784341,-2.79146,-15.24749,-15.50387,-15.54875,-16.55315,-26.55218
1276.62,-2.783257,-2.787187,-2.786238,-2.780684,-2.787458,-15.24504,-15.50299,-15.54746,-16.55315,-26.55218
1276.63,-2.782512,-2.786035,-2.783257,-2.77906,-2.785018,-15.2393,-15.49998,-15.54308,-16.55315,-26.55218
1276.64,-2.784883,-2.787458,-2.783596,-2.781158,-2.785289,-15.23945,-15.49951,-15.54367,-16.55315,-26.55218
1276.65,-2.789085,-2.787323,-2.785018,-2.783731,-2.785425,-15.2473,-15.50755,-15.5492,-16.55315,-26.55218
1276.66,-2.791053,-2.787865,-2.786645,-2.787526,-2.787662,-15.25575,-15.51711,-15.55869,-16.55315,-26.55218
1276.67,-2.793835,-2.789425,-2.789628,-2.79146,-2.789899,-15.26263,-15.52184,-15.56668,-16.55315,-26.55218
1276.68,-2.796756,-2.792206,-2.792206,-2.794718,-2.793021,-15.26904,-15.52883,-15.57612,-16.55315,-26.55218
1276.69,-2.798726,-2.795805,-2.79533,-2.79995,-2.795737,-15.28085,-15.53893,-15.58516,-16.55315,-26.55218
1276.7,-2.801854,-2.801786,-2.801174,-2.804576,-2.798727,-15.28876,-15.54778,-15.59376,-16.55315,-26.55218
1276.71,-2.803623,-2.808116,-2.809206,-2.810978,-2.801174,-15.29049,-15.55727,-15.60403,-16.55315,-26.55218
1276.72,-2.80546,-2.813501,-2.815206,-2.814796,-2.802942,-15.29451,-15.56592,-15.61135,-16.55315,-26.55218
1276.73,-2.808457,-2.818277,-2.820531,-2.819165,-2.806005,-15.29595,-15.56798,-15.61372,-16.55315,-26.55218
1276.74,-2.808933,-2.81978,-2.823265,-2.820804,-2.808525,-15.29774,-15.56825,-15.6145,-16.55315,-26.55218
1276.75,-2.809342,-2.817936,-2.823538,-2.818824,-2.810501,-15.29665,-15.56595,-15.61466,-16.55315,-26.55218
1276.76,-2.806618,-2.812001,-2.821078,-2.812546,-2.809547,-15.29138,-15.55705,-15.60953,-16.55315,-26.55218
1276.77,-2.802126,-2.804848,-2.814251,-2.80478,-2.806073,-15.28619,-15.54839,-15.59975,-16.55315,-26.55218
1276.78,-2.797367,-2.797367,-2.805937,-2.795941,-2.800562,-15.27733,-15.53897,-15.58993,-16.55315,-26.55218
1276.79,-2.792478,-2.792749,-2.797095,-2.788408,-2.79465,-15.27258,-15.53277,-15.58166,-16.55315,-26.55218
1276.8,-2.789492,-2.789492,-2.790374,-2.784476,-2.788882,-15.2715,-15.52893,-15.57501,-16.55315,-26.55218
1276.81,-2.787119,-2.786645,-2.784138,-2.781903,-2.785221,-15.26579,-15.52031,-15.56278,-16.55315,-26.55218
1276.82,-2.78617,-2.785696,-2.781158,-2.781903,-2.784815,-15.25168,-15.5097,-15.54691,-16.55315,-26.55218
1276.83,-2.786916,-2.784002,-2.781564,-2.78346,-2.785764,-15.23672,-15.49738,-15.53584,-16.55315,-26.55218
1276.84,-2.789696,-2.784815,-2.78617,-2.786374,-2.79051,-15.23416,-15.49191,-15.53518,-16.55315,-26.55218
1276.85,-2.794039,-2.788882,-2.791256,-2.788882,-2.795601,-15.24097,-15.49626,-15.54031,-16.55315,-26.55218
1276.86,-2.798047,-2.793903,-2.79662,-2.791731,-2.798047,-15.24891,-15.5044,-15.54862,-16.55315,-26.55218
1276.87,-2.80233,-2.799406,-2.801038,-2.795941,-2.80199,-15.25486,-15.51021,-15.55436,-16.55315,-26.55218
1276.88,-2.80621,-2.804235,-2.803487,-2.798455,-2.804303,-15.25648,-15.51308,-15.55681,-16.55315,-26.55218
1276.89,-2.808389,-2.807435,-2.804099,-2.800766,-2.806618,-15.25559,-15.51562,-15.55699,-16.55315,-26.55218
1276.9,-2.811114,-2.812137,-2.805733,-2.804644,-2.811728,-15.25103,-15.51277,-15.55174,-16.55315,-26.55218
1276.91,-2.814046,-2.817049,-2.808525,-2.808253,-2.817117,-15.24509,-15.50908,-15.54543,-16.55315,-26.55218
1276.92,-2.816025,-2.821214,-2.811796,-2.812955,-2.820463,-15.24808,-15.5143,-15.54916,-16.55315,-26.55218
1276.93,-2.818141,-2.824153,-2.815206,-2.817117,-2.822102,-15.26461,-15.52804,-15.56196,-16.55315,-26.55218
1276.94,-2.816844,-2.823879,-2.815479,-2.817663,-2.819302,-15.27229,-15.53893,-15.57266,-16.55315,-26.55218
1276.95,-2.812137,-2.818482,-2.812887,-2.81507,-2.81241,-15.27057,-15.5388,-15.57342,-16.55315,-26.55218
1276.96,-2.805188,-2.809342,-2.807299,-2.809002,-2.805528,-15.26047,-15.52929,-15.56723,-16.55315,-26.55218
1276.97,-2.795533,-2.798047,-2.800222,-2.801582,-2.796688,-15.24902,-15.51328,-15.55556,-16.55315,-26.55218
1276.98,-2.787865,-2.787255,-2.794718,-2.794582,-2.791324,-15.23686,-15.49398,-15.54024,-16.55315,-26.55218
1276.99,-2.782309,-2.779669,-2.789696,-2.788272,-2.787933,-15.22693,-15.48087,-15.53138,-16.55315,-26.55218
1277,-2.778654,-2.776287,-2.786102,-2.784002,-2.786102,-15.22864,-15.48268,-15.53504,-16.55315,-26.55218
1277.01,-2.778857,-2.776152,-2.78495,-2.782309,-2.787051,-15.23764,-15.49553,-15.54704,-16.55315,-26.55218
1277.02,-2.780549,-2.77879,-2.785289,-2.782106,-2.78834,-15.24719,-15.50641,-15.55743,-16.55315,-26.55218
1277.03,-2.784544,-2.783799,-2.787933,-2.783934,-2.791392,-15.25093,-15.51204,-15.56107,-16.55315,-26.55218
1277.04,-2.793157,-2.792342,-2.79465,-2.790917,-2.79696,-15.26096,-15.52144,-15.56732,-16.55315,-26.55218
1277.05,-2.801174,-2.800154,-2.800494,-2.797979,-2.804643,-15.27013,-15.53366,-15.57609,-16.55315,-26.55218
1277.06,-2.807912,-2.806414,-2.80512,-2.804712,-2.81091,-15.28011,-15.54175,-15.58216,-16.55315,-26.55218
1277.07,-2.812546,-2.810978,-2.809275,-2.809751,-2.814796,-15.28777,-15.54409,-15.58402,-16.55315,-26.55218
1277.08,-2.815138,-2.813092,-2.811728,-2.811523,-2.817458,-15.29044,-15.54577,-15.58646,-16.55315,-26.55218
1277.09,-2.816366,-2.81507,-2.814933,-2.812273,-2.818209,-15.28906,-15.54811,-15.5912,-16.55315,-26.55218
1277.1,-2.817322,-2.816366,-2.817731,-2.812955,-2.817663,-15.28618,-15.54794,-15.59325,-16.55315,-26.55218
1277.11,-2.818141,-2.818277,-2.821351,-2.815547,-2.816093,-15.28381,-15.54657,-15.59324,-16.55315,-26.55218
1277.12,-2.818004,-2.818482,-2.821966,-2.817595,-2.813774,-15.28385,-15.5485,-15.5952,-16.55315,-26.55218
1277.13,-2.816025,-2.816912,-2.820668,-2.818209,-2.811455,-15.28222,-15.55042,-15.59522,-16.55315,-26.55218
1277.14,-2.810433,-2.812001,-2.81466,-2.814319,-2.805869,-15.27649,-15.54507,-15.58821,-16.55315,-26.55218
1277.15,-2.80199,-2.804371,-2.805597,-2.806141,-2.79927,-15.26722,-15.53277,-15.57497,-16.55315,-26.55218
1277.16,-2.791731,-2.796552,-2.795465,-2.795601,-2.793632,-15.25432,-15.51819,-15.55916,-16.55315,-26.55218
1277.17,-2.782512,-2.788069,-2.78617,-2.785561,-2.785696,-15.24098,-15.50422,-15.54456,-16.55315,-26.55218
1277.18,-2.776084,-2.783325,-2.780481,-2.778248,-2.781429,-15.22811,-15.49383,-15.53242,-16.55315,-26.55218
1277.19,-2.773042,-2.77994,-2.777639,-2.774799,-2.778586,-15.21766,-15.48496,-15.52379,-16.55315,-26.55218
1277.2,-2.773313,-2.777775,-2.776828,-2.77507,-2.776895,-15.21269,-15.47919,-15.51965,-16.55315,-26.55218
1277.21,-2.774394,-2.776963,-2.777233,-2.776219,-2.776489,-15.21249,-15.47672,-15.51859,-16.55315,-26.55218
1277.22,-2.776625,-2.777369,-2.778113,-2.779669,-2.778857,-15.21522,-15.47629,-15.51881,-16.55315,-26.55218
1277.23,-2.78109,-2.782377,-2.781497,-2.785561,-2.783257,-15.21893,-15.47857,-15.52069,-16.55315,-26.55218
